model,family,combination,saved_filename,params,valid_pr_auc,valid_roc_auc,valid_precision,valid_recall,valid_f1,valid_accuracy,train_pr_auc,train_roc_auc,train_precision,train_recall,train_f1,train_accuracy,pr_auc_gap,roc_auc_gap,precision_gap,recall_gap,f1_gap,valid_false_positives,valid_false_negatives,train_false_positives,train_false_negatives,training_time_seconds,training_time_minutes,best_cv_pr_auc,overfitting_gap,Precision (Fraud),Recall (Fraud),F1-Score,False Positives,False Negatives
XGBoost (Combo 27),XGBoost,27,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=4_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.844715,0.98271,0.943038,0.78836,0.85879,0.999568,0.99977,1.0,1.0,0.973545,0.986595,0.999956,0.155055,0.01729,0.056962,0.185185,0.127806,18,80,0,10,7.3515,0.1225,0.844715,0.155055,0.943038,0.78836,0.85879,18,80
XGBoost (Combo 36),XGBoost,36,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.844664,0.980005,0.955836,0.801587,0.871942,0.999608,1.0,1.0,1.0,1.0,1.0,1.0,0.155336,0.019995,0.044164,0.198413,0.128058,14,75,0,0,9.0679,0.1511,0.844664,0.155336,0.955836,0.801587,0.871942,14,75
XGBoost (Combo 29),XGBoost,29,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=4_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.844633,0.982981,0.940252,0.791005,0.859195,0.999568,1.0,1.0,1.0,1.0,1.0,1.0,0.155367,0.017019,0.059748,0.208995,0.140805,19,79,0,0,10.2106,0.1702,0.844633,0.155367,0.940252,0.791005,0.859195,19,79
XGBoost (Combo 16),XGBoost,16,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=6_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.84416,0.982549,0.937888,0.798942,0.862857,0.999577,0.999902,1.0,1.0,0.978836,0.989305,0.999965,0.155743,0.01745,0.062112,0.179894,0.126448,20,76,0,8,7.0623,0.1177,0.84416,0.155743,0.937888,0.798942,0.862857,20,76
XGBoost (Combo 34),XGBoost,34,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=6_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.844135,0.979431,0.95283,0.801587,0.87069,0.999603,1.0,1.0,1.0,1.0,1.0,1.0,0.155865,0.020569,0.04717,0.198413,0.12931,15,75,0,0,6.6666,0.1111,0.844135,0.155865,0.95283,0.801587,0.87069,15,75
XGBoost (Combo 23),XGBoost,23,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=3_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.844113,0.981431,0.933544,0.780423,0.850144,0.999542,0.997713,0.999993,0.994413,0.941799,0.967391,0.999894,0.1536,0.018563,0.060869,0.161376,0.117247,21,83,2,22,9.0893,0.1515,0.844113,0.1536,0.933544,0.780423,0.850144,21,83
XGBoost (Combo 81),XGBoost,81,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=4_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.844108,0.981314,0.949206,0.791005,0.862915,0.999581,0.999959,1.0,1.0,0.986772,0.993342,0.999978,0.155851,0.018686,0.050794,0.195767,0.130427,16,79,0,5,7.2555,0.1209,0.844108,0.155851,0.949206,0.791005,0.862915,16,79
XGBoost (Combo 21),XGBoost,21,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=3_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.844035,0.981233,0.936306,0.777778,0.849711,0.999542,0.983382,0.999932,0.988166,0.883598,0.932961,0.999789,0.139347,0.018699,0.05186,0.10582,0.08325,20,84,4,44,6.4059,0.1068,0.844035,0.139347,0.936306,0.777778,0.849711,20,84
XGBoost (Combo 67),XGBoost,67,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=6_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.843584,0.984115,0.948387,0.777778,0.854651,0.999559,0.973712,0.999896,0.985163,0.878307,0.928671,0.999775,0.130128,0.015781,0.036776,0.100529,0.07402,16,84,5,46,4.8802,0.0813,0.843584,0.130128,0.948387,0.777778,0.854651,16,84
XGBoost (Combo 121),XGBoost,121,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=6_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.84357,0.984383,0.943396,0.793651,0.862069,0.999577,0.975428,0.999895,0.985337,0.888889,0.934631,0.999793,0.131858,0.015512,0.041941,0.095238,0.072562,18,78,5,42,4.9345,0.0822,0.84357,0.131858,0.943396,0.793651,0.862069,18,78
