model,family,combination,saved_filename,params,valid_pr_auc,valid_roc_auc,valid_precision,valid_recall,valid_f1,valid_accuracy,train_pr_auc,train_roc_auc,train_precision,train_recall,train_f1,train_accuracy,pr_auc_gap,roc_auc_gap,precision_gap,recall_gap,f1_gap,valid_false_positives,valid_false_negatives,train_false_positives,train_false_negatives,training_time_seconds,training_time_minutes,best_cv_pr_auc,overfitting_gap,Precision (Fraud),Recall (Fraud),F1-Score,False Positives,False Negatives
XGBoost (Combo 134),XGBoost,134,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=4_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.82945,0.983347,0.938312,0.76455,0.842566,0.999524,0.974901,0.999904,0.984848,0.859788,0.918079,0.999744,0.145451,0.016556,0.046537,0.095238,0.075513,19,89,5,53,3.5587,0.0593,0.82945,0.145451,0.938312,0.76455,0.842566,19,89
XGBoost (Combo 54),XGBoost,54,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=6_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.828811,0.965235,0.917178,0.791005,0.849432,0.999533,1.0,1.0,1.0,1.0,1.0,1.0,0.171189,0.034765,0.082822,0.208995,0.150568,27,79,0,0,8.6729,0.1445,0.828811,0.171189,0.917178,0.791005,0.849432,27,79
XGBoost (Combo 116),XGBoost,116,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=4_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.828767,0.982158,0.93125,0.78836,0.853868,0.999551,0.909404,0.998531,0.949254,0.84127,0.892006,0.999661,0.080637,0.016373,0.018004,0.05291,0.038137,22,80,17,60,3.4114,0.0569,0.828767,0.080637,0.93125,0.78836,0.853868,22,80
XGBoost (Combo 78),XGBoost,78,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=3_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.828219,0.981289,0.932692,0.769841,0.843478,0.999524,0.997512,0.999995,0.997183,0.936508,0.965894,0.99989,0.169293,0.018706,0.064491,0.166667,0.122415,21,87,1,24,7.0612,0.1177,0.828219,0.169293,0.932692,0.769841,0.843478,21,87
XGBoost (Combo 130),XGBoost,130,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=3_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.82777,0.982449,0.931596,0.756614,0.835036,0.999502,0.981964,0.999938,0.98538,0.891534,0.936111,0.999797,0.154193,0.017489,0.053784,0.134921,0.101075,21,92,5,41,4.9795,0.083,0.82777,0.154193,0.931596,0.756614,0.835036,21,92
XGBoost (Combo 52),XGBoost,52,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=6_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.827092,0.965116,0.914373,0.791005,0.848227,0.999529,1.0,1.0,1.0,1.0,1.0,1.0,0.172908,0.034884,0.085627,0.208995,0.151773,28,79,0,0,6.5073,0.1085,0.827092,0.172908,0.914373,0.791005,0.848227,28,79
XGBoost (Combo 80),XGBoost,80,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=4_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.826858,0.983762,0.932476,0.767196,0.8418,0.99952,0.971138,0.999897,0.990854,0.859788,0.92068,0.999753,0.14428,0.016135,0.058378,0.092593,0.07888,21,88,3,53,3.8592,0.0643,0.826858,0.14428,0.932476,0.767196,0.8418,21,88
RandomForest (Combo 9),RandomForest,9,RandomForest_max_depth=15_min_samples_split=2_n_estimators=100.joblib,"{'model__max_depth': 15, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.825403,0.95826,0.886957,0.809524,0.846473,0.999511,1.0,1.0,0.910843,1.0,0.953342,0.999837,0.174597,0.04174,0.023887,0.190476,0.106869,39,72,37,0,35.4394,0.5907,0.825403,0.174597,0.886957,0.809524,0.846473,39,72
XGBoost (Combo 76),XGBoost,76,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=3_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.825338,0.982439,0.929032,0.761905,0.837209,0.999507,0.976913,0.9999,0.987988,0.87037,0.925457,0.999766,0.151575,0.01746,0.058956,0.108466,0.088248,22,90,4,49,4.8172,0.0803,0.825338,0.151575,0.929032,0.761905,0.837209,22,90
XGBoost (Combo 42),XGBoost,42,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=3_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.825028,0.969205,0.920245,0.793651,0.852273,0.999542,1.0,1.0,1.0,1.0,1.0,1.0,0.174972,0.030795,0.079755,0.206349,0.147727,26,78,0,0,6.736,0.1123,0.825028,0.174972,0.920245,0.793651,0.852273,26,78
XGBoost (Combo 48),XGBoost,48,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=4_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.824777,0.967234,0.928571,0.791005,0.854286,0.999551,1.0,1.0,1.0,0.997354,0.998675,0.999996,0.175223,0.032766,0.071429,0.206349,0.14439,23,79,0,1,7.6838,0.1281,0.824777,0.175223,0.928571,0.791005,0.854286,23,79
RandomForest (Combo 11),RandomForest,11,RandomForest_max_depth=15_min_samples_split=5_n_estimators=100.joblib,"{'model__max_depth': 15, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.824536,0.96362,0.871795,0.809524,0.839506,0.999485,1.0,1.0,0.902148,1.0,0.948557,0.999819,0.175464,0.03638,0.030353,0.190476,0.109051,45,72,41,0,35.6932,0.5949,0.824536,0.175464,0.871795,0.809524,0.839506,45,72
RandomForest (Combo 12),RandomForest,12,RandomForest_max_depth=15_min_samples_split=5_n_estimators=200.joblib,"{'model__max_depth': 15, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.824525,0.970181,0.875,0.814815,0.843836,0.999498,1.0,1.0,0.895735,1.0,0.945,0.999806,0.175475,0.029819,0.020735,0.185185,0.101164,44,70,44,0,69.8153,1.1636,0.824525,0.175475,0.875,0.814815,0.843836,44,70
XGBoost (Combo 110),XGBoost,110,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=3_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.824439,0.982088,0.916409,0.783069,0.844508,0.99952,0.871872,0.996924,0.944785,0.814815,0.875,0.999612,0.047433,0.014836,0.028377,0.031746,0.030492,27,82,18,70,3.1082,0.0518,0.824439,0.047433,0.916409,0.783069,0.844508,27,82
XGBoost (Combo 2),XGBoost,2,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=3_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.824174,0.98278,0.922118,0.783069,0.846924,0.999529,0.874183,0.996836,0.93865,0.809524,0.869318,0.999595,0.050008,0.014056,0.016532,0.026455,0.022394,25,82,20,72,6.1307,0.1022,0.824174,0.050008,0.922118,0.783069,0.846924,25,82
RandomForest (Combo 10),RandomForest,10,RandomForest_max_depth=15_min_samples_split=2_n_estimators=200.joblib,"{'model__max_depth': 15, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.824059,0.966738,0.890173,0.814815,0.850829,0.999524,1.0,1.0,0.917476,1.0,0.956962,0.99985,0.175941,0.033262,0.027302,0.185185,0.106133,38,70,34,0,69.8951,1.1649,0.824059,0.175941,0.890173,0.814815,0.850829,38,70
XGBoost (Combo 46),XGBoost,46,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=4_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.8226,0.967301,0.919753,0.78836,0.849003,0.999533,0.997442,0.999871,1.0,0.994709,0.997347,0.999991,0.174842,0.03257,0.080247,0.206349,0.148345,26,80,0,2,5.5499,0.0925,0.8226,0.174842,0.919753,0.78836,0.849003,26,80
XGBoost (Combo 128),XGBoost,128,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=3_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.821264,0.984054,0.931373,0.753968,0.833333,0.999498,0.910155,0.997447,0.965409,0.812169,0.882184,0.999639,0.088892,0.013393,0.034036,0.058201,0.048851,21,93,11,71,3.3097,0.0552,0.821264,0.088892,0.931373,0.753968,0.833333,21,93
XGBoost (Combo 56),XGBoost,56,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=3_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.821199,0.983065,0.919003,0.780423,0.844063,0.99952,0.872094,0.99675,0.939024,0.814815,0.872521,0.999603,0.050895,0.013685,0.020021,0.034392,0.028458,26,83,20,70,3.1783,0.053,0.821199,0.050895,0.919003,0.780423,0.844063,26,83
XGBoost (Combo 50),XGBoost,50,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=6_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.820445,0.964453,0.911854,0.793651,0.848656,0.999529,0.999867,1.0,1.0,0.997354,0.998675,0.999996,0.179422,0.035547,0.088146,0.203704,0.150019,29,78,0,1,4.128,0.0688,0.820445,0.179422,0.911854,0.793651,0.848656,29,78
XGBoost (Combo 74),XGBoost,74,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=3_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.820328,0.98377,0.925325,0.753968,0.830904,0.999489,0.908115,0.994716,0.965409,0.812169,0.882184,0.999639,0.087787,0.010946,0.040084,0.058201,0.05128,23,93,11,71,3.0879,0.0515,0.820328,0.087787,0.925325,0.753968,0.830904,23,93
XGBoost (Combo 40),XGBoost,40,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=3_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.816234,0.969205,0.917431,0.793651,0.851064,0.999537,0.999093,0.999998,0.99729,0.973545,0.985274,0.999952,0.182859,0.030793,0.079859,0.179894,0.134211,27,78,1,10,4.9958,0.0833,0.816234,0.182859,0.917431,0.793651,0.851064,27,78
XGBoost (Combo 53),XGBoost,53,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=6_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.81538,0.957264,0.903614,0.793651,0.84507,0.999515,1.0,1.0,1.0,1.0,1.0,1.0,0.18462,0.042736,0.096386,0.206349,0.15493,32,78,0,0,10.7838,0.1797,0.81538,0.18462,0.903614,0.793651,0.84507,32,78
XGBoost (Combo 47),XGBoost,47,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=4_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.815016,0.955142,0.89426,0.783069,0.834979,0.999485,1.0,1.0,1.0,1.0,1.0,1.0,0.184984,0.044858,0.10574,0.216931,0.165021,35,82,0,0,9.8833,0.1647,0.815016,0.184984,0.89426,0.783069,0.834979,35,82
RandomForest (Combo 6),RandomForest,6,RandomForest_max_depth=10_min_samples_split=2_n_estimators=200.joblib,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.814821,0.977643,0.778055,0.825397,0.801027,0.999317,0.991378,0.999984,0.803419,0.994709,0.888889,0.999586,0.176556,0.022342,0.025364,0.169312,0.087862,89,66,92,2,66.7781,1.113,0.814821,0.176556,0.778055,0.825397,0.801027,89,66
XGBoost (Combo 51),XGBoost,51,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=6_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.813949,0.956108,0.900602,0.791005,0.842254,0.999507,1.0,1.0,1.0,1.0,1.0,1.0,0.186051,0.043892,0.099398,0.208995,0.157746,33,79,0,0,7.8737,0.1312,0.813949,0.186051,0.900602,0.791005,0.842254,33,79
KNN (Combo 12),KNN,12,KNN_n_neighbors=7_p=2_weights=distance.joblib,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'distance'}",0.812524,0.924457,0.920128,0.761905,0.833575,0.999493,1.0,1.0,1.0,1.0,1.0,1.0,0.187476,0.075543,0.079872,0.238095,0.166425,25,90,0,0,63.383,1.0564,0.812524,0.187476,0.920128,0.761905,0.833575,25,90
KNN (Combo 14),KNN,14,KNN_n_neighbors=11_p=1_weights=distance.joblib,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'distance'}",0.811895,0.923085,0.919872,0.759259,0.831884,0.999489,1.0,1.0,1.0,1.0,1.0,1.0,0.188105,0.076915,0.080128,0.240741,0.168116,25,91,0,0,237.8455,3.9641,0.811895,0.188105,0.919872,0.759259,0.831884,25,91
RandomForest (Combo 5),RandomForest,5,RandomForest_max_depth=10_min_samples_split=2_n_estimators=100.joblib,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.811444,0.972791,0.778338,0.81746,0.797419,0.999308,0.987171,0.999981,0.812095,0.994709,0.894174,0.999608,0.175727,0.02719,0.033758,0.177249,0.096754,88,69,87,2,33.6504,0.5608,0.811444,0.175727,0.778338,0.81746,0.797419,88,69
RandomForest (Combo 8),RandomForest,8,RandomForest_max_depth=10_min_samples_split=5_n_estimators=200.joblib,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.811225,0.977257,0.775561,0.822751,0.79846,0.999308,0.990285,0.999983,0.79661,0.994709,0.884706,0.999568,0.179059,0.022725,0.021049,0.171958,0.086246,90,67,96,2,67.2629,1.121,0.811225,0.179059,0.775561,0.822751,0.79846,90,67
XGBoost (Combo 44),XGBoost,44,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=4_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.811109,0.964384,0.908537,0.78836,0.844193,0.999515,0.976196,0.985087,1.0,0.899471,0.947075,0.999833,0.165088,0.020703,0.091463,0.111111,0.102883,30,80,0,38,3.7379,0.0623,0.811109,0.165088,0.908537,0.78836,0.844193,30,80
KNN (Combo 10),KNN,10,KNN_n_neighbors=7_p=1_weights=distance.joblib,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'distance'}",0.809825,0.923136,0.923077,0.761905,0.834783,0.999498,1.0,1.0,1.0,1.0,1.0,1.0,0.190175,0.076864,0.076923,0.238095,0.165217,24,90,0,0,220.4734,3.6746,0.809825,0.190175,0.923077,0.761905,0.834783,24,90
XGBoost (Combo 45),XGBoost,45,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=4_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.80947,0.953118,0.888889,0.783069,0.83263,0.999476,1.0,1.0,1.0,1.0,1.0,1.0,0.19053,0.046882,0.111111,0.216931,0.16737,37,82,0,0,7.2418,0.1207,0.80947,0.19053,0.888889,0.783069,0.83263,37,82
KNN (Combo 8),KNN,8,KNN_n_neighbors=5_p=2_weights=distance.joblib,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",0.809321,0.921842,0.921384,0.775132,0.841954,0.999515,1.0,1.0,1.0,1.0,1.0,1.0,0.190679,0.078158,0.078616,0.224868,0.158046,25,85,0,0,64.6506,1.0775,0.809321,0.190679,0.921384,0.775132,0.841954,25,85
KNN (Combo 6),KNN,6,KNN_n_neighbors=5_p=1_weights=distance.joblib,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.808855,0.92184,0.926984,0.772487,0.842713,0.99952,1.0,1.0,1.0,1.0,1.0,1.0,0.191145,0.07816,0.073016,0.227513,0.157287,23,86,0,0,227.8288,3.7971,0.808855,0.191145,0.926984,0.772487,0.842713,23,86
KNN (Combo 16),KNN,16,KNN_n_neighbors=11_p=2_weights=distance.joblib,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'distance'}",0.808836,0.925719,0.902821,0.761905,0.826399,0.999467,1.0,1.0,1.0,1.0,1.0,1.0,0.191164,0.074281,0.097179,0.238095,0.173601,31,90,0,0,67.9369,1.1323,0.808836,0.191164,0.902821,0.761905,0.826399,31,90
RandomForest (Combo 7),RandomForest,7,RandomForest_max_depth=10_min_samples_split=5_n_estimators=100.joblib,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.806144,0.974111,0.773067,0.820106,0.795892,0.999299,0.986424,0.999979,0.8,0.994709,0.886792,0.999577,0.18028,0.025868,0.026933,0.174603,0.0909,91,68,94,2,33.5323,0.5589,0.806144,0.18028,0.773067,0.820106,0.795892,91,68
XGBoost (Combo 49),XGBoost,49,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=6_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.805291,0.951345,0.900302,0.78836,0.840621,0.999502,1.0,1.0,1.0,0.994709,0.997347,0.999991,0.194709,0.048655,0.099698,0.206349,0.156727,33,80,0,2,4.8799,0.0813,0.805291,0.194709,0.900302,0.78836,0.840621,33,80
XGBoost (Combo 38),XGBoost,38,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=3_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.803008,0.970361,0.889552,0.78836,0.835905,0.999485,0.961929,0.992899,0.984894,0.862434,0.919605,0.999749,0.158921,0.022538,0.095342,0.074074,0.0837,37,80,5,52,3.2861,0.0548,0.803008,0.158921,0.889552,0.78836,0.835905,37,80
KNN (Combo 4),KNN,4,KNN_n_neighbors=3_p=2_weights=distance.joblib,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}",0.802539,0.917904,0.930818,0.783069,0.850575,0.999542,1.0,1.0,1.0,1.0,1.0,1.0,0.197461,0.082096,0.069182,0.216931,0.149425,22,82,0,0,64.9373,1.0823,0.802539,0.197461,0.930818,0.783069,0.850575,22,82
XGBoost (Combo 43),XGBoost,43,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=4_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.800923,0.947458,0.870871,0.767196,0.815752,0.999423,0.992987,0.999898,0.997222,0.949735,0.9729,0.999912,0.192064,0.05244,0.126351,0.18254,0.157147,43,88,1,19,4.121,0.0687,0.800923,0.192064,0.870871,0.767196,0.815752,43,88
KNN (Combo 2),KNN,2,KNN_n_neighbors=3_p=1_weights=distance.joblib,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}",0.800653,0.915263,0.925,0.783069,0.848138,0.999533,1.0,1.0,1.0,1.0,1.0,1.0,0.199347,0.084737,0.075,0.216931,0.151862,24,82,0,0,222.456,3.7076,0.800653,0.199347,0.925,0.783069,0.848138,24,82
XGBoost (Combo 150),XGBoost,150,XGBoost_colsample_bytree=1.0_learning_rate=0.2_max_depth=3_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.80027,0.949923,0.885886,0.780423,0.829817,0.999467,0.999899,1.0,1.0,0.997354,0.998675,0.999996,0.199629,0.050077,0.114114,0.216931,0.168858,38,83,0,1,6.9338,0.1156,0.80027,0.199629,0.885886,0.780423,0.829817,38,83
XGBoost (Combo 108),XGBoost,108,XGBoost_colsample_bytree=0.8_learning_rate=0.2_max_depth=6_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.800048,0.961243,0.887538,0.772487,0.826025,0.999458,1.0,1.0,1.0,0.997354,0.998675,0.999996,0.199952,0.038757,0.112462,0.224868,0.17265,37,86,0,1,8.2829,0.138,0.800048,0.199952,0.887538,0.772487,0.826025,37,86
XGBoost (Combo 162),XGBoost,162,XGBoost_colsample_bytree=1.0_learning_rate=0.2_max_depth=6_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.798961,0.961831,0.89939,0.780423,0.835694,0.999489,1.0,1.0,1.0,1.0,1.0,1.0,0.201039,0.038169,0.10061,0.219577,0.164306,33,83,0,0,8.3945,0.1399,0.798961,0.201039,0.89939,0.780423,0.835694,33,83
KNN (Combo 11),KNN,11,KNN_n_neighbors=7_p=2_weights=uniform.joblib,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'uniform'}",0.796871,0.924441,0.907643,0.753968,0.823699,0.999463,0.922734,0.999878,0.945513,0.780423,0.855072,0.999559,0.125863,0.075438,0.03787,0.026455,0.031373,29,93,17,83,63.3004,1.055,0.796871,0.125863,0.907643,0.753968,0.823699,29,93
XGBoost (Combo 106),XGBoost,106,XGBoost_colsample_bytree=0.8_learning_rate=0.2_max_depth=6_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.795236,0.958478,0.873494,0.767196,0.816901,0.999427,0.998456,0.999994,1.0,0.997354,0.998675,0.999996,0.20322,0.041516,0.126506,0.230159,0.181774,42,88,0,1,6.5799,0.1097,0.795236,0.20322,0.873494,0.767196,0.816901,42,88
XGBoost (Combo 160),XGBoost,160,XGBoost_colsample_bytree=1.0_learning_rate=0.2_max_depth=6_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.794756,0.961514,0.89426,0.783069,0.834979,0.999485,1.0,1.0,1.0,1.0,1.0,1.0,0.205244,0.038486,0.10574,0.216931,0.165021,35,82,0,0,6.5939,0.1099,0.794756,0.205244,0.89426,0.783069,0.834979,35,82
XGBoost (Combo 148),XGBoost,148,XGBoost_colsample_bytree=1.0_learning_rate=0.2_max_depth=3_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.794688,0.950303,0.885886,0.780423,0.829817,0.999467,0.989321,0.998074,1.0,0.931217,0.964384,0.999885,0.194632,0.047771,0.114114,0.150794,0.134566,38,83,0,26,5.2284,0.0871,0.794688,0.194632,0.885886,0.780423,0.829817,38,83
KNN (Combo 13),KNN,13,KNN_n_neighbors=11_p=1_weights=uniform.joblib,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'uniform'}",0.794648,0.923065,0.893417,0.753968,0.817791,0.99944,0.901207,0.999822,0.9125,0.772487,0.836676,0.999498,0.106559,0.076757,0.019083,0.018519,0.018886,34,93,28,86,236.5762,3.9429,0.794648,0.106559,0.893417,0.753968,0.817791,34,93
XGBoost (Combo 41),XGBoost,41,XGBoost_colsample_bytree=0.7_learning_rate=0.2_max_depth=3_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.79446,0.950258,0.893617,0.777778,0.831683,0.999476,1.0,1.0,1.0,1.0,1.0,1.0,0.20554,0.049742,0.106383,0.222222,0.168317,35,84,0,0,8.9713,0.1495,0.79446,0.20554,0.893617,0.777778,0.831683,35,84
KNN (Combo 9),KNN,9,KNN_n_neighbors=7_p=1_weights=uniform.joblib,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'uniform'}",0.793574,0.92312,0.907643,0.753968,0.823699,0.999463,0.922952,0.99988,0.942492,0.780423,0.853835,0.999555,0.129378,0.07676,0.034849,0.026455,0.030136,29,93,18,83,225.5743,3.7596,0.793574,0.129378,0.907643,0.753968,0.823699,29,93
KNN (Combo 7),KNN,7,KNN_n_neighbors=5_p=2_weights=uniform.joblib,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",0.79354,0.921828,0.916667,0.756614,0.828986,0.99948,0.938314,0.999913,0.946875,0.801587,0.868195,0.999595,0.144774,0.078085,0.030208,0.044974,0.039209,26,92,17,75,68.7886,1.1465,0.79354,0.144774,0.916667,0.756614,0.828986,26,92
KNN (Combo 5),KNN,5,KNN_n_neighbors=5_p=1_weights=uniform.joblib,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'}",0.792514,0.921827,0.919094,0.751323,0.826783,0.999476,0.939427,0.999917,0.946372,0.793651,0.863309,0.999581,0.146913,0.07809,0.027278,0.042328,0.036526,25,94,17,78,225.0013,3.75,0.792514,0.146913,0.919094,0.751323,0.826783,25,94
